url;code;buy_below
https://www.globaldata.pt/grafica-asus-geforce-rtx-3080-rog-strix-white-10gd6x-90yv0fa6-m0nm00;Cold_War;50
https://www.globaldata.pt/portatil-msi-156-gs66-stealth-10uh-024pt-i7-32gb-1tb-rtx-3080-300hz-w10-9s7-16v312-024;ce;1
https://www.globaldata.pt/tapete-corsair-mm700-rgb-extended-xl-ch-9417070-ww;oo;2
